,Area,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,540.0,323.99852070358486,35.0,69.88981481481481,156.0
2,0.5,0.0,37.0,38.0,39.0
3,0.5,0.0,35.0,35.0,35.0
4,385.5,326.829996155536,35.0,56.44811932555123,108.0
5,0.5,0.0,35.0,36.5,38.0
6,0.25,0.0,39.0,39.0,39.0
7,0.25,0.0,35.0,35.0,35.0
8,122.0,119.27564927611034,35.0,47.73565573770492,65.0
9,230.5,138.34976541518077,35.0,71.95010845986985,151.0
10,5.0,9.103553390593273,35.0,37.85,41.0
11,0.25,0.0,35.0,35.0,35.0
12,0.25,0.0,36.0,36.0,36.0
13,0.25,0.0,35.0,35.0,35.0
14,0.25,0.0,37.0,37.0,37.0
15,0.25,0.0,39.0,39.0,39.0
16,0.25,0.0,39.0,39.0,39.0
17,0.25,0.0,38.0,38.0,38.0
18,0.25,0.0,37.0,37.0,37.0
19,0.25,0.0,37.0,37.0,37.0
20,16.25,28.63908729652601,35.0,39.90769230769231,48.0
21,0.25,0.0,39.0,39.0,39.0
22,0.25,0.0,37.0,37.0,37.0
23,0.25,0.0,38.0,38.0,38.0
24,0.25,0.0,37.0,37.0,37.0
25,1.75,2.603553390593274,35.0,35.857142857142854,38.0
26,2.25,4.207106781186548,35.0,36.888888888888886,40.0
27,0.25,0.0,35.0,35.0,35.0
28,0.25,0.0,36.0,36.0,36.0
29,0.25,0.0,35.0,35.0,35.0
30,0.75,0.5,37.0,38.0,39.0
31,1.0,2.2071067811865475,35.0,36.5,38.0
32,0.25,0.0,35.0,35.0,35.0
33,0.5,0.0,35.0,36.0,37.0
34,0.25,0.0,39.0,39.0,39.0
35,0.25,0.0,40.0,40.0,40.0
36,0.25,0.0,36.0,36.0,36.0
37,0.25,0.0,43.0,43.0,43.0
38,0.25,0.0,35.0,35.0,35.0
39,0.75,0.5,35.0,35.666666666666664,37.0
40,0.25,0.0,37.0,37.0,37.0
41,0.25,0.0,35.0,35.0,35.0
42,0.5,0.0,38.0,42.0,46.0
43,0.25,0.0,39.0,39.0,39.0
44,0.25,0.0,38.0,38.0,38.0
45,20.0,37.071067811865476,35.0,37.7375,45.0
46,0.5,0.0,35.0,35.5,36.0
47,0.5,0.0,35.0,40.5,46.0
48,0.25,0.0,38.0,38.0,38.0
49,0.25,0.0,39.0,39.0,39.0
50,0.25,0.0,35.0,35.0,35.0
51,4.25,8.603553390593273,35.0,36.705882352941174,40.0
52,0.25,0.0,35.0,35.0,35.0
53,0.5,0.0,35.0,35.5,36.0
54,0.25,0.0,36.0,36.0,36.0
55,110.5,97.37615433949868,35.0,53.411764705882355,76.0
56,148.5,107.62184335382291,35.0,70.9074074074074,140.0
57,100.0,107.53300858899107,35.0,47.1825,68.0
58,0.25,0.0,35.0,35.0,35.0
59,0.25,0.0,38.0,38.0,38.0
60,0.25,0.0,36.0,36.0,36.0
61,0.25,0.0,36.0,36.0,36.0
62,0.5,0.0,37.0,39.5,42.0
63,0.5,0.0,36.0,38.0,40.0
64,0.75,0.6035533905932737,35.0,38.0,40.0
65,0.25,0.0,39.0,39.0,39.0
66,155.0,172.69595949289334,35.0,46.285483870967745,76.0
67,94.0,108.65432893255071,35.0,46.558510638297875,62.0
68,618.0,361.9751801064719,35.0,72.61245954692556,154.0
69,0.25,0.0,35.0,35.0,35.0
70,0.25,0.0,42.0,42.0,42.0
71,0.25,0.0,37.0,37.0,37.0
72,0.25,0.0,36.0,36.0,36.0
73,0.25,0.0,36.0,36.0,36.0
74,0.5,0.0,41.0,42.0,43.0
75,0.25,0.0,35.0,35.0,35.0
76,0.25,0.0,39.0,39.0,39.0
77,0.25,0.0,35.0,35.0,35.0
78,0.25,0.0,35.0,35.0,35.0
79,0.25,0.0,38.0,38.0,38.0
80,0.25,0.0,36.0,36.0,36.0
81,0.25,0.0,39.0,39.0,39.0
82,0.25,0.0,38.0,38.0,38.0
83,0.25,0.0,46.0,46.0,46.0
84,591.0,300.1137443927346,35.0,63.67808798646362,83.0
85,0.25,0.0,45.0,45.0,45.0
86,0.25,0.0,40.0,40.0,40.0
87,0.25,0.0,36.0,36.0,36.0
88,428.0,301.66704525163374,35.0,72.65245327102804,157.0
89,0.25,0.0,40.0,40.0,40.0
90,0.25,0.0,35.0,35.0,35.0
91,0.25,0.0,37.0,37.0,37.0
92,183.75,138.05687219636732,35.0,62.94013605442177,110.0
93,0.25,0.0,41.0,41.0,41.0
94,0.25,0.0,36.0,36.0,36.0
95,0.25,0.0,35.0,35.0,35.0
96,0.25,0.0,37.0,37.0,37.0
97,106.25,105.96498910433053,35.0,52.96235294117647,86.0
98,0.25,0.0,39.0,39.0,39.0
99,0.25,0.0,36.0,36.0,36.0
100,0.25,0.0,38.0,38.0,38.0
101,0.25,0.0,36.0,36.0,36.0
102,93.0,101.49747468305833,35.0,49.446236559139784,71.0
103,0.25,0.0,36.0,36.0,36.0
104,0.5,0.0,36.0,37.0,38.0
105,0.75,0.6035533905932737,37.0,45.0,58.0
106,84.0,110.80813485483816,35.0,44.62202380952381,59.0
107,175.5,123.98580438450185,35.0,68.11823361823362,112.0
108,770.5,235.83252147247765,35.0,93.26735885788449,158.0
109,353.25,156.85281374238568,35.0,95.18966737438075,158.0
110,0.25,0.0,35.0,35.0,35.0
111,0.25,0.0,45.0,45.0,45.0
112,0.5,0.0,35.0,37.5,40.0
113,0.25,0.0,35.0,35.0,35.0
114,1.25,2.310660171779821,35.0,39.0,44.0
115,0.25,0.0,35.0,35.0,35.0
116,0.25,0.0,37.0,37.0,37.0
117,0.25,0.0,36.0,36.0,36.0
118,1.0,2.2071067811865475,35.0,37.5,41.0
119,0.25,0.0,38.0,38.0,38.0
120,271.75,235.17261889578032,35.0,51.641214351425944,78.0
121,0.25,0.0,39.0,39.0,39.0
122,0.25,0.0,36.0,36.0,36.0
123,0.25,0.0,37.0,37.0,37.0
124,0.5,0.0,37.0,37.5,38.0
125,0.25,0.0,36.0,36.0,36.0
126,0.25,0.0,37.0,37.0,37.0
127,0.25,0.0,36.0,36.0,36.0
128,0.25,0.0,43.0,43.0,43.0
129,0.25,0.0,37.0,37.0,37.0
130,0.25,0.0,35.0,35.0,35.0
131,0.25,0.0,40.0,40.0,40.0
132,0.5,0.0,35.0,35.5,36.0
133,326.75,221.06906550518707,35.0,71.716908951798,111.0
134,0.25,0.0,39.0,39.0,39.0
135,0.25,0.0,38.0,38.0,38.0
